N,P,K,temperature,humidity,ph,rainfall,label
92.1,48.7,24.7,19.2,52.02,6.96,89.79,maize
97.0,39.5,48.1,25.81,72.6,7.24,150.12,jute
86.5,51.7,29.6,22.19,51.5,6.62,117.46,maize
20.0,14.6,35.8,27.04,93.6,6.43,147.6,coconut
29.3,134.8,204.7,20.67,87.72,5.65,118.18,apple
28.0,73.2,29.4,20.89,74.14,6.65,76.76,lentil
63.2,45.7,38.2,31.79,77.24,6.3,295.42,rice
23.1,22.7,41.7,34.45,61.11,6.26,111.55,mango
115.0,18.1,41.5,20.55,58.55,7.35,181.82,coffee
24.5,121.3,196.7,18.91,94.9,5.71,116.34,apple
112.1,19.7,34.4,27.16,61.72,6.32,169.89,coffee
18.6,34.4,27.8,30.46,49.02,7.08,111.35,mango
20.0,55.3,24.4,28.16,89.19,6.29,70.37,blackgram
79.4,55.1,35.9,23.87,80.41,6.79,189.86,jute
98.7,36.4,41.8,29.13,89.72,7.41,185.62,jute
14.9,31.7,37.3,34.05,49.64,5.74,80.24,mango
91.3,40.2,35.7,27.44,78.99,6.78,177.24,jute
68.1,34.9,33.3,29.77,88.3,6.55,203.82,rice
17.0,14.1,8.0,21.88,86.03,7.07,102.94,orange
29.5,57.3,29.2,18.65,87.38,7.06,68.99,lentil
22.9,56.9,28.1,34.39,84.15,7.28,67.53,mungbean
18.4,18.8,42.7,23.42,85.34,6.89,103.73,pomegranate
34.2,72.9,20.1,27.63,63.66,6.76,77.56,blackgram
88.8,42.3,31.0,31.12,79.66,6.42,185.82,jute
41.1,67.7,80.4,18.98,20.29,6.41,79.32,chickpea
44.0,67.0,63.8,23.21,88.06,6.46,79.84,papaya
36.7,60.4,29.2,21.06,41.42,6.77,133.31,pigeonpeas
83.8,49.9,34.8,19.23,67.38,6.31,85.69,maize
32.7,69.7,18.9,33.85,77.31,6.33,68.07,blackgram
16.2,43.1,24.8,30.34,88.32,6.59,74.69,mungbean
26.2,60.1,23.6,34.99,68.61,6.42,47.99,mungbean
12.8,19.7,22.3,24.12,87.89,6.7,110.29,orange
21.6,146.0,209.1,28.51,80.49,5.5,61.2,grapes
18.8,145.7,193.3,20.31,79.45,6.21,71.28,grapes
102.9,13.4,57.6,24.69,73.94,6.29,46.79,watermelon
16.7,65.0,15.4,33.35,70.96,7.26,67.73,mungbean
26.6,10.8,30.5,20.61,86.49,6.84,118.35,pomegranate
107.2,96.2,53.6,26.13,86.46,6.08,105.68,banana
26.3,19.0,36.5,21.3,93.19,6.19,117.15,pomegranate
33.7,43.2,16.8,27.52,87.62,6.87,66.67,mungbean
23.4,75.9,25.5,22.04,74.78,7.33,57.01,lentil
38.4,44.3,28.0,32.64,67.43,6.05,45.09,mungbean
99.4,80.6,62.8,23.66,77.24,6.08,152.6,banana
13.1,34.2,25.8,34.75,45.09,7.25,92.29,mango
65.3,51.8,62.9,26.44,88.09,6.73,64.38,papaya
36.8,73.9,23.0,16.15,27.11,5.62,80.23,kidneybeans
31.5,48.0,27.3,34.06,63.59,6.8,54.23,mungbean
21.8,80.0,29.7,19.94,60.29,5.78,49.49,lentil
26.0,56.3,28.8,19.7,60.87,6.88,56.68,lentil
97.9,55.5,41.0,30.87,89.79,6.92,180.64,jute
22.8,68.8,25.1,20.42,85.3,7.02,37.62,lentil
86.4,30.0,39.2,20.04,66.94,6.42,205.51,coffee
68.6,73.4,58.7,32.37,86.76,6.72,89.44,papaya
19.3,126.4,200.6,16.77,91.35,5.79,123.75,apple
73.0,46.0,22.9,24.26,59.71,6.4,74.25,maize
72.4,39.8,44.6,27.65,92.74,6.44,167.94,rice
116.7,32.9,43.2,25.4,52.14,6.66,159.2,coffee
34.6,48.3,22.3,32.78,71.47,6.66,58.81,mungbean
47.6,75.8,91.9,23.62,20.48,7.61,67.81,chickpea
16.3,49.9,16.8,27.21,42.27,8.52,62.13,mothbeans
14.0,125.6,195.1,21.1,78.6,5.92,62.97,grapes
28.5,24.8,16.6,16.85,89.59,7.58,100.83,orange
111.2,57.3,29.6,26.1,77.63,6.94,81.08,cotton
25.3,142.4,194.9,29.58,82.48,5.9,66.31,grapes
11.1,144.5,206.5,19.74,78.24,5.98,77.9,grapes
24.1,83.1,19.1,22.65,54.53,6.8,192.23,pigeonpeas
105.9,43.5,22.0,24.71,77.04,7.82,102.83,cotton
90.4,15.5,27.8,22.4,55.64,7.15,157.47,coffee
11.0,15.2,25.4,24.09,47.21,5.98,88.85,mango
30.2,73.1,27.4,19.25,68.26,6.03,59.13,lentil
94.3,79.0,49.3,22.38,75.65,6.37,154.27,banana
93.5,14.8,45.0,28.48,66.81,6.97,50.84,watermelon
25.5,68.8,25.9,20.74,28.34,6.28,111.73,kidneybeans
29.6,83.2,17.6,24.6,33.2,6.38,150.56,pigeonpeas
22.6,67.1,25.1,21.82,21.3,5.63,97.94,kidneybeans
11.3,18.2,30.5,30.37,90.08,7.19,215.48,coconut
90.5,27.8,44.1,24.86,68.53,7.18,200.95,coffee
75.8,48.8,35.9,31.86,75.83,6.66,155.16,jute
24.1,48.0,24.3,25.74,75.11,6.27,68.7,mungbean
100.5,57.7,15.7,27.51,84.39,7.95,74.09,cotton
15.0,81.1,26.9,21.27,30.01,5.65,87.5,kidneybeans
29.3,146.1,202.9,24.46,87.81,6.1,120.7,apple
19.3,46.5,20.2,27.45,57.36,6.65,61.76,mothbeans
24.8,75.9,17.9,21.42,20.2,6.39,113.74,kidneybeans
114.8,19.4,34.1,26.52,66.48,7.34,215.83,coffee
100.1,56.5,24.7,28.27,75.09,7.92,94.61,cotton
20.0,70.3,17.4,21.71,82.62,5.72,56.05,lentil
13.4,23.1,9.0,31.82,85.07,6.53,106.0,orange
92.0,85.9,53.2,24.74,76.97,6.32,179.69,banana
54.5,59.0,61.2,31.98,90.05,6.85,100.09,papaya
29.8,28.3,38.6,24.42,57.11,6.47,84.23,mango
78.1,45.7,38.8,24.81,86.19,5.81,177.29,rice
104.6,39.4,32.4,24.84,80.66,7.18,89.9,cotton
51.3,46.1,64.0,25.58,85.16,6.08,86.42,papaya
88.4,38.2,26.3,20.31,74.07,6.47,108.36,maize
28.4,55.3,25.2,29.03,39.31,3.75,48.22,mothbeans
106.4,19.9,43.8,18.11,50.12,6.76,184.16,coffee
45.6,68.2,95.4,23.93,16.25,7.77,77.93,chickpea
81.3,31.6,36.7,21.61,76.27,7.48,198.35,rice
100.8,35.1,30.6,28.99,67.57,7.96,90.4,cotton
28.8,67.1,27.5,23.15,27.24,5.87,75.32,kidneybeans
97.2,16.6,61.4,25.47,64.29,6.01,54.45,watermelon
13.6,148.8,202.8,31.94,80.4,5.91,89.32,grapes
60.8,37.5,34.4,20.66,69.23,6.75,82.92,maize
87.4,35.6,31.1,27.79,73.82,6.95,177.61,jute
91.3,51.9,23.2,29.73,73.08,7.21,65.07,cotton
111.3,36.2,16.0,28.08,77.84,7.16,78.59,cotton
63.2,66.3,64.3,29.43,85.85,6.6,94.93,papaya
25.1,75.4,16.0,20.94,83.16,7.16,42.67,lentil
64.9,41.6,46.7,31.13,80.78,6.05,196.35,jute
92.8,34.2,36.8,25.87,50.91,6.16,207.02,coffee
48.4,73.7,51.3,33.73,87.29,6.19,81.52,papaya
24.0,22.5,33.8,21.29,92.2,6.79,107.91,pomegranate
28.7,124.1,199.8,20.18,82.55,6.22,64.23,grapes
26.4,24.3,8.6,25.11,89.27,6.67,116.97,orange
106.4,56.3,32.2,31.36,80.69,7.13,81.68,cotton
109.7,21.9,53.0,30.85,92.3,6.75,21.96,muskmelon
32.2,73.2,56.2,30.56,88.68,6.78,53.33,papaya
38.8,64.8,20.3,20.06,33.82,6.38,66.15,kidneybeans
24.8,62.0,18.3,24.6,27.33,6.06,84.95,kidneybeans
83.6,51.3,30.5,27.94,81.9,6.31,160.42,jute
30.6,35.3,17.9,29.91,88.52,6.58,61.22,mungbean
21.6,62.1,19.8,30.52,61.52,6.07,76.02,mungbean
98.9,21.6,64.7,31.1,63.22,6.37,48.91,watermelon
17.0,19.7,37.3,29.6,64.83,7.47,105.4,mango
39.5,77.2,79.5,21.45,22.9,7.43,67.97,chickpea
67.0,58.0,32.2,30.8,80.88,6.06,173.22,jute
26.6,62.6,22.6,15.3,63.95,7.27,68.83,lentil
36.4,71.8,50.9,31.5,92.8,6.96,79.88,papaya
15.2,37.5,27.1,32.71,87.45,7.28,74.16,mungbean
83.3,23.8,29.7,27.84,60.85,6.99,169.52,coffee
29.2,65.6,20.7,29.12,81.83,6.68,85.7,blackgram
43.8,46.3,59.4,34.38,87.64,6.09,78.05,papaya
106.2,20.5,45.4,29.73,57.2,6.79,45.04,watermelon
18.4,83.6,19.9,27.27,56.31,6.94,194.03,pigeonpeas
82.9,49.0,39.0,23.52,81.57,6.85,262.86,rice
18.5,14.8,34.3,24.61,95.53,6.16,132.14,coconut
99.7,62.7,32.7,26.05,65.77,5.62,74.2,cotton
26.2,68.2,16.4,22.19,66.41,5.89,53.57,lentil
94.4,23.2,41.7,23.13,64.62,6.03,182.51,coffee
13.5,32.5,39.9,31.25,53.14,6.02,119.18,mango
37.1,47.5,62.6,33.9,87.76,6.38,92.82,papaya
22.8,14.1,14.2,15.28,86.74,6.98,124.68,orange
15.5,5.4,36.1,28.63,94.27,5.64,209.33,coconut
97.2,92.8,52.4,24.44,85.94,5.92,178.51,banana
21.7,61.0,26.8,30.73,42.96,6.75,188.67,pigeonpeas
85.9,52.5,33.5,31.75,82.31,6.25,151.03,jute
17.1,64.5,25.0,26.28,50.5,4.21,68.63,mothbeans
15.8,74.8,23.0,16.03,18.45,6.07,77.78,kidneybeans
99.8,44.6,21.5,28.73,75.62,6.46,67.45,cotton
108.4,71.4,53.2,29.05,78.4,6.3,150.46,banana
86.7,48.9,37.0,31.02,71.63,6.7,188.78,jute
90.9,22.6,58.5,26.47,93.37,6.29,21.87,muskmelon
30.3,72.6,23.2,31.4,67.78,6.13,63.58,blackgram
27.0,66.2,22.4,30.79,65.67,7.35,80.23,blackgram
37.6,127.0,194.0,15.06,92.07,6.44,105.61,apple
38.5,74.3,59.5,33.9,88.04,6.74,97.12,papaya
24.7,135.4,206.3,29.44,81.15,5.65,85.08,grapes
18.9,16.7,30.7,32.6,48.03,6.79,116.7,mango
58.3,48.9,58.3,33.56,89.26,6.41,75.43,papaya
31.3,74.6,29.3,15.03,67.44,7.36,76.95,lentil
73.3,39.4,45.4,26.6,80.12,6.97,195.48,jute
23.2,66.7,18.9,18.43,72.32,6.94,58.02,lentil
117.3,26.4,31.0,27.97,63.62,6.61,189.19,coffee
81.6,10.8,53.6,24.5,70.78,6.53,40.87,watermelon
32.3,122.8,208.8,23.27,93.58,6.41,112.26,apple
29.6,79.5,29.8,28.89,61.42,7.2,78.13,blackgram
110.7,80.9,59.7,23.04,86.84,6.03,123.38,banana
27.6,76.3,18.7,28.24,70.03,6.04,70.23,blackgram
77.9,53.0,25.3,26.27,62.42,7.48,111.09,maize
27.2,73.1,19.9,34.84,80.02,6.07,69.8,blackgram
94.2,25.1,62.6,31.71,61.49,6.8,46.32,watermelon
81.4,13.0,52.0,30.81,93.93,6.19,26.2,muskmelon
63.2,50.1,47.0,23.43,86.0,6.59,157.97,jute
73.9,55.3,26.3,20.4,71.97,7.09,99.51,maize
17.4,65.0,20.6,17.14,77.55,6.39,36.54,lentil
66.0,44.7,29.7,22.28,59.4,6.29,87.57,maize
103.2,36.9,32.5,27.69,72.7,5.78,107.34,cotton
20.0,123.1,194.0,24.59,83.88,6.07,80.45,grapes
16.3,58.5,27.7,32.99,75.25,6.35,82.27,mungbean
25.0,12.7,31.3,24.83,94.57,6.09,108.87,pomegranate
28.7,22.3,10.7,17.67,89.49,6.71,120.47,orange
22.1,19.5,47.3,18.22,91.44,7.14,115.19,pomegranate
29.6,75.2,27.1,21.59,71.94,6.53,71.14,lentil
56.9,46.3,49.4,27.92,88.31,6.71,80.89,papaya
86.8,54.5,44.5,31.57,84.76,7.04,163.09,jute
33.9,143.7,192.1,23.36,89.08,5.76,117.27,apple
52.7,48.3,52.5,25.16,90.17,6.84,74.9,papaya
17.2,18.6,38.1,28.96,97.05,5.66,155.56,coconut
30.5,76.6,16.7,18.5,64.8,5.2,95.92,pigeonpeas
81.7,38.6,41.8,20.37,75.75,7.15,204.03,rice
23.0,124.5,206.2,22.6,89.84,6.04,101.79,apple
30.8,142.9,205.6,22.7,87.26,6.48,129.86,apple
36.9,61.0,16.2,22.88,85.06,5.83,73.45,lentil
77.3,44.4,25.1,21.96,52.64,6.78,72.96,maize
21.6,81.5,28.4,26.96,78.42,6.13,71.75,blackgram
16.5,148.8,193.7,21.22,80.1,6.36,72.5,grapes
34.5,62.6,27.4,32.04,88.37,6.61,79.86,blackgram
98.7,59.0,20.9,26.82,65.05,6.66,104.88,maize
19.7,29.9,38.5,24.55,91.18,7.33,183.01,coconut
30.1,53.9,21.3,25.15,33.27,3.61,64.94,mothbeans
58.0,57.2,56.0,34.25,86.66,6.29,52.16,papaya
24.3,66.6,16.4,24.15,62.73,6.8,53.59,lentil
20.7,11.3,9.5,23.6,91.06,6.02,123.41,orange
33.4,64.0,22.0,30.99,65.14,7.11,69.08,blackgram
44.7,80.7,97.5,19.31,21.38,7.16,74.85,chickpea
17.6,79.4,15.6,21.59,68.18,7.24,56.82,lentil
32.3,74.8,15.6,23.16,64.27,5.76,145.21,pigeonpeas
109.7,14.9,49.0,28.69,90.37,6.44,27.72,muskmelon
34.9,63.2,25.4,17.64,33.78,6.14,79.47,kidneybeans
45.5,60.1,51.6,30.62,94.95,6.03,111.99,papaya
39.7,143.8,209.9,24.68,89.9,6.2,103.31,apple
21.0,14.6,44.9,21.72,93.09,7.17,104.3,pomegranate
22.3,48.4,25.9,29.54,64.56,4.96,56.49,mothbeans
28.6,14.0,41.1,27.99,93.97,7.38,171.04,coconut
101.6,21.5,34.6,23.12,58.01,7.39,202.07,coffee
35.4,54.4,51.4,31.11,86.14,6.83,100.88,papaya
27.6,27.8,49.2,24.07,85.02,6.57,116.37,pomegranate
96.3,29.1,62.7,25.36,64.46,6.97,51.17,watermelon
20.8,62.9,15.6,26.23,89.59,6.47,63.46,blackgram
106.3,16.3,32.8,20.79,61.56,6.78,183.68,coffee
31.4,127.6,198.6,15.57,90.88,6.26,112.4,apple
17.4,55.4,17.4,24.96,65.4,6.51,73.18,lentil
18.7,14.8,35.0,28.23,96.92,6.92,157.76,coconut
29.3,72.0,28.2,25.81,63.59,4.65,100.78,pigeonpeas
46.7,73.1,94.8,24.84,20.77,7.92,75.58,chickpea
105.8,27.4,54.4,28.6,93.36,6.74,22.65,muskmelon
17.5,22.9,5.3,26.88,94.55,7.41,129.82,orange
34.5,35.6,19.9,31.28,68.26,7.36,71.69,mungbean
12.1,8.3,26.2,24.7,94.32,6.14,190.66,coconut
13.1,11.7,42.8,21.3,94.08,6.54,105.74,pomegranate
35.7,64.0,28.3,31.01,75.9,6.04,52.33,mungbean
87.3,10.8,64.7,26.72,61.24,6.91,57.55,watermelon
22.9,66.8,18.6,19.36,36.27,6.89,164.53,pigeonpeas
46.1,60.9,47.5,29.02,91.11,7.0,118.02,papaya
46.3,77.2,70.4,17.48,19.29,6.54,69.9,chickpea
27.9,72.4,29.0,27.41,46.84,6.93,194.56,pigeonpeas
14.1,5.6,15.3,16.44,89.69,7.87,121.59,orange
26.5,19.9,17.7,26.54,93.06,7.32,109.83,orange
102.7,74.5,54.4,30.31,75.23,5.77,100.2,banana
14.4,24.1,45.7,21.19,91.98,6.58,103.2,pomegranate
116.8,42.7,23.4,30.35,80.42,7.53,85.92,cotton
113.1,18.5,33.3,25.71,69.6,7.43,212.96,coffee
96.0,33.4,32.2,26.56,68.06,6.75,181.29,coffee
48.9,82.3,91.7,20.33,32.4,6.26,91.62,chickpea
17.0,72.0,28.6,23.55,40.37,4.93,106.66,pigeonpeas
24.1,73.3,25.4,28.42,63.24,6.1,77.67,blackgram
15.6,148.3,207.7,16.68,80.17,5.73,72.32,grapes
96.3,17.4,58.9,27.81,71.72,6.68,60.54,watermelon
90.2,33.1,48.1,26.06,91.53,6.14,284.33,rice
15.3,20.3,41.5,24.48,91.45,6.62,118.61,pomegranate
62.4,52.6,46.4,28.95,70.26,6.27,167.11,jute
26.5,18.2,8.3,27.48,92.27,6.85,127.74,orange
16.8,14.5,44.5,24.05,99.86,7.46,219.62,coconut
103.6,16.7,62.6,28.92,71.45,6.55,46.55,watermelon
23.3,137.5,199.8,18.73,83.95,5.75,62.74,grapes
18.6,147.1,191.7,23.23,86.52,5.54,121.58,apple
24.2,83.8,27.3,23.54,65.17,6.04,47.85,lentil
16.3,15.2,30.8,22.08,87.3,6.22,113.08,pomegranate
10.1,16.1,32.2,21.31,91.77,7.31,114.98,pomegranate
38.7,67.0,26.7,17.66,34.81,5.53,96.21,kidneybeans
36.1,66.9,15.8,23.63,53.58,5.85,172.39,pigeonpeas
101.3,17.8,61.8,29.42,68.96,6.54,66.56,watermelon
48.4,69.9,81.4,16.63,30.72,7.47,75.37,chickpea
18.7,57.2,27.2,32.52,82.6,7.07,80.08,blackgram
19.5,63.1,18.0,21.46,40.72,6.17,154.68,pigeonpeas
87.4,34.9,48.2,29.87,94.0,6.95,242.01,rice
14.6,28.0,46.7,21.87,91.16,6.71,107.83,pomegranate
25.0,84.4,18.4,21.12,72.99,5.64,56.95,lentil
27.7,69.3,19.1,25.29,78.15,6.59,68.96,blackgram
35.9,42.9,21.7,30.38,79.91,7.18,59.74,mungbean
26.1,56.5,27.3,29.57,50.58,5.56,177.98,pigeonpeas
85.7,21.4,61.3,30.15,71.06,6.88,68.13,watermelon
19.5,59.7,27.4,15.42,23.38,5.67,112.76,kidneybeans
12.2,5.7,17.2,31.13,94.9,6.97,114.04,orange
102.1,35.8,27.1,24.9,73.66,6.72,63.23,cotton
77.1,35.6,31.3,28.84,89.3,6.83,175.34,jute
25.7,49.1,17.4,25.31,88.41,6.36,52.0,mungbean
74.2,36.2,30.3,27.29,71.91,6.29,192.34,jute
15.4,20.2,38.8,21.59,91.73,6.58,105.03,pomegranate
85.0,45.3,34.7,27.63,85.95,7.25,192.33,jute
108.7,34.6,41.1,20.76,64.19,7.14,201.08,coffee
27.9,146.0,207.8,20.4,75.35,5.76,68.36,grapes
42.1,81.5,76.1,20.88,29.02,7.36,76.33,chickpea
21.8,69.6,16.2,19.6,21.13,6.32,63.42,kidneybeans
39.9,77.5,24.7,28.55,61.47,6.05,76.63,blackgram
37.5,78.8,25.1,21.8,33.92,5.8,60.07,kidneybeans
99.6,32.4,42.1,26.16,51.23,6.37,211.29,coffee
22.1,67.0,27.2,18.19,52.73,6.51,177.85,pigeonpeas
99.2,38.1,37.5,31.39,87.54,6.59,184.95,jute
52.0,66.2,58.7,28.7,89.64,6.4,108.95,papaya
112.1,43.2,34.9,23.83,69.29,6.22,108.77,cotton
94.0,97.7,63.7,24.42,86.97,5.93,173.4,banana
85.6,20.8,50.6,26.59,62.03,6.06,69.58,watermelon
16.9,55.1,25.1,26.99,44.38,5.97,135.7,pigeonpeas
102.3,89.5,48.1,28.47,77.74,6.25,127.13,banana
24.9,77.3,23.7,28.88,65.12,6.34,77.27,blackgram
35.4,78.3,26.4,16.88,16.77,6.2,82.1,kidneybeans
88.1,45.4,42.0,26.87,79.31,7.33,158.05,jute
12.5,6.3,40.4,29.33,94.99,6.44,169.74,coconut
28.6,131.5,190.0,22.32,92.52,6.25,110.35,apple
94.4,50.3,33.4,30.6,84.38,7.13,93.79,cotton
92.9,16.6,53.2,29.22,95.0,6.49,22.08,muskmelon
37.7,133.2,204.9,24.3,94.08,5.56,106.17,apple
26.5,50.0,16.1,29.48,47.61,8.47,49.41,mothbeans
89.1,70.7,52.7,23.42,85.66,6.16,103.52,banana
15.3,76.5,25.6,21.23,34.8,5.81,80.4,kidneybeans
101.7,26.3,62.1,25.54,88.43,6.69,24.99,muskmelon
77.4,42.0,42.3,27.62,75.91,6.25,243.88,rice
28.0,37.2,24.4,26.03,58.13,8.82,69.16,mothbeans
28.9,83.4,21.2,28.27,78.2,7.4,85.11,blackgram
30.0,60.0,20.7,26.64,63.94,6.68,191.49,pigeonpeas
28.1,18.2,40.5,21.34,89.48,7.16,110.54,pomegranate
87.8,81.7,63.9,24.47,85.03,6.24,135.85,banana
18.8,18.9,17.7,16.95,92.81,7.44,119.68,orange
106.2,89.2,49.2,22.3,81.5,6.07,170.13,banana
18.1,15.3,36.8,24.14,45.02,6.73,87.56,mango
21.1,141.4,200.4,21.83,87.69,6.1,113.32,apple
96.6,91.8,61.0,31.45,84.13,5.75,173.93,banana
11.6,18.9,12.6,17.25,93.62,7.23,110.64,orange
31.2,149.0,200.2,24.87,88.02,5.53,104.97,apple
37.3,121.2,191.4,18.25,87.33,5.76,106.64,apple
86.9,80.7,50.8,28.15,88.54,6.46,152.29,banana
33.5,57.3,55.9,28.01,94.01,6.91,105.75,papaya
44.9,63.5,56.5,27.13,88.07,6.41,85.91,papaya
19.4,143.6,206.7,20.45,90.54,6.13,113.17,apple
14.3,22.7,45.2,24.9,86.8,7.15,106.78,pomegranate
114.5,54.5,23.5,24.28,66.4,6.84,109.52,cotton
24.7,120.2,200.8,30.88,77.66,6.1,80.07,grapes
90.9,35.8,16.3,22.18,72.73,6.58,89.87,maize
22.5,24.6,43.6,21.29,88.88,6.56,112.8,pomegranate
11.0,19.2,26.5,27.18,57.55,6.63,104.49,mango
38.2,51.4,24.9,34.03,62.96,6.35,75.45,mungbean
23.6,29.9,34.6,22.37,89.6,6.06,100.29,pomegranate
97.7,73.4,61.7,22.28,87.51,5.64,170.93,banana
98.4,48.8,46.9,25.88,78.76,6.71,163.94,jute
18.1,131.8,196.1,24.21,77.52,5.87,84.0,grapes
45.0,68.2,79.1,17.59,18.89,6.12,73.7,chickpea
114.2,22.7,27.3,26.42,59.96,6.19,158.07,coffee
27.8,63.6,15.1,24.95,40.0,6.7,92.63,pigeonpeas
34.5,82.9,18.7,20.77,68.24,7.15,35.24,lentil
15.9,24.2,32.3,20.85,93.48,6.55,111.82,pomegranate
22.5,78.3,20.9,19.95,30.38,6.13,197.34,pigeonpeas
99.0,82.4,61.8,24.3,75.09,6.15,116.2,banana
18.6,25.4,32.8,30.81,96.37,5.78,184.97,coconut
97.5,62.3,20.9,25.72,67.04,7.75,74.31,cotton
30.6,67.4,27.9,27.52,89.43,6.92,83.81,blackgram
108.6,29.7,44.9,25.69,57.65,6.84,175.66,coffee
24.7,13.0,48.2,24.25,91.54,7.01,100.11,pomegranate
90.7,43.2,32.2,22.37,73.72,5.79,80.84,cotton
28.3,34.8,42.5,34.98,49.89,7.18,112.92,mango
28.9,138.3,204.3,30.24,77.63,5.55,60.06,grapes
20.8,49.8,19.7,25.45,47.64,5.6,40.32,mothbeans
115.3,45.3,34.2,24.09,65.77,7.68,97.61,cotton
73.4,53.1,32.1,20.9,89.56,6.49,253.26,rice
35.2,58.0,16.7,29.15,59.2,7.25,55.86,mothbeans
27.9,133.2,194.7,23.24,82.16,5.61,68.11,grapes
12.6,26.8,32.2,29.01,91.59,5.91,219.2,coconut
35.4,72.9,20.9,24.63,59.91,5.52,185.66,pigeonpeas
81.0,81.3,62.9,24.75,79.1,5.8,148.99,banana
62.1,59.6,52.6,32.81,89.9,6.25,80.59,papaya
19.4,34.7,33.5,30.64,46.09,7.18,105.93,mango
14.8,12.0,35.2,19.24,85.29,7.36,100.16,pomegranate
29.8,24.4,30.1,33.8,54.82,6.7,83.83,mango
25.9,11.5,15.0,25.61,87.32,7.44,116.41,orange
15.6,84.5,16.3,29.4,39.81,4.9,138.38,pigeonpeas
47.6,83.5,87.3,18.57,30.75,6.5,82.56,chickpea
25.9,21.0,42.0,32.35,50.94,6.35,87.44,mango
29.1,23.9,41.9,21.22,88.64,6.53,112.73,pomegranate
23.1,69.3,24.0,24.86,88.13,7.22,75.01,lentil
10.4,16.2,42.8,18.07,85.33,7.28,113.68,pomegranate
25.0,133.5,202.3,28.77,80.13,5.98,79.35,grapes
25.0,59.6,23.6,17.77,33.43,6.08,95.57,kidneybeans
46.7,65.4,74.6,15.25,27.92,7.27,73.62,chickpea
95.1,14.1,46.4,26.2,94.84,6.47,28.67,muskmelon
19.1,15.5,22.0,30.84,94.3,6.02,127.66,orange
15.2,47.3,19.9,29.55,56.82,5.48,62.47,mothbeans
85.7,36.8,30.1,24.36,78.46,7.2,164.09,jute
35.2,84.0,82.5,24.84,28.36,7.27,66.64,chickpea
17.1,17.3,43.4,27.84,90.14,6.38,202.06,coconut
82.8,24.3,46.4,27.97,64.45,6.31,66.11,watermelon
36.8,60.1,15.8,28.04,46.64,7.05,132.17,pigeonpeas
18.8,76.3,25.2,25.24,72.35,6.5,80.08,blackgram
114.7,34.9,40.6,24.13,51.58,7.09,199.6,coffee
13.4,30.2,44.8,32.56,50.92,5.99,88.71,mango
108.4,63.4,28.5,29.83,72.34,6.18,82.71,cotton
29.7,127.7,201.3,15.77,93.0,6.43,126.23,apple
65.1,34.6,32.8,27.69,78.64,6.19,284.52,rice
16.4,16.4,9.7,17.44,88.74,7.48,127.49,orange
16.2,40.7,26.9,29.54,69.05,6.58,82.72,mungbean
17.2,63.8,27.1,29.6,66.71,7.4,57.23,mungbean
37.9,59.0,21.8,29.75,50.52,6.7,37.69,mothbeans
113.3,81.0,47.0,28.74,75.12,5.98,115.42,banana
20.0,29.3,27.6,31.17,96.91,6.02,210.17,coconut
82.4,23.1,58.1,24.76,61.38,6.99,60.35,watermelon
85.4,94.4,57.1,31.5,80.09,5.61,140.52,banana
67.9,52.0,24.3,26.75,65.21,6.2,66.85,maize
93.3,25.5,59.8,28.77,85.87,6.93,24.56,muskmelon
16.4,22.2,48.8,22.7,85.75,6.69,117.82,pomegranate
26.7,60.7,25.5,25.79,42.55,7.23,92.3,pigeonpeas
86.5,25.2,60.7,31.46,88.76,6.51,23.63,muskmelon
36.4,46.9,18.0,29.25,71.57,7.37,78.1,mungbean
106.3,16.4,56.7,24.62,60.16,6.09,49.46,watermelon
28.1,130.8,190.3,20.62,86.24,5.58,122.66,apple
29.8,83.1,25.2,29.14,80.69,6.52,68.32,blackgram
23.0,77.3,29.6,29.38,85.83,6.85,64.72,blackgram
16.9,148.1,195.8,21.89,88.38,6.47,103.05,apple
110.9,24.1,27.1,20.73,58.05,7.12,155.11,coffee
39.5,64.6,25.3,25.95,57.95,4.2,61.23,mothbeans
17.7,25.1,32.7,25.64,90.65,5.66,196.0,coconut
16.0,40.6,27.5,32.67,70.52,6.57,66.68,mungbean
101.8,86.4,46.1,25.99,79.06,6.5,124.67,banana
92.7,55.8,30.1,26.13,83.35,5.94,167.98,rice
31.9,75.3,20.6,24.42,18.35,6.0,101.45,kidneybeans
28.6,74.6,20.8,31.47,61.34,6.08,73.72,blackgram
103.6,13.4,47.2,30.25,88.05,6.95,27.14,muskmelon
86.8,22.3,45.6,31.52,90.23,6.04,23.42,muskmelon
101.7,13.7,63.2,30.62,58.27,6.87,48.17,watermelon
112.1,44.8,31.5,29.69,70.63,5.54,65.91,cotton
14.4,142.0,205.1,23.38,77.97,5.97,62.8,grapes
25.4,33.0,31.7,34.91,47.06,5.61,114.22,mango
89.3,15.9,51.1,31.08,69.48,6.67,63.96,watermelon
27.5,125.4,205.9,24.14,78.28,5.66,65.03,grapes
12.1,16.0,16.8,15.49,90.73,7.68,121.67,orange
97.3,19.3,58.2,30.56,92.51,6.94,23.98,muskmelon
10.4,21.7,27.9,26.56,63.11,5.57,88.79,mango
34.5,38.9,24.0,25.34,74.93,6.23,49.15,mungbean
63.4,50.1,63.6,28.9,94.23,6.21,88.37,papaya
40.8,59.0,79.0,18.59,31.09,6.56,68.43,chickpea
92.3,41.9,36.6,26.73,78.67,6.62,175.19,jute
